Discussion 7,11,9,0.135435993,0.136054422,2.102040816,-0.184291553,3,3,0.385416667,0.395833333,1.75,0.1080602,57,7,0.222222222,0.238095238,13.5,-0.120730258,3,3,0.452380952,0.5,2.107142857,0.254577134,0.254577134,P,Discussion 7<-> Presentation2,
Discussion 8,15,10,0.129251701,0.136734694,2.62244898,0.508180776,3,4,0.385416667,0.375,1.90625,0.464956274,49,6,0.222222222,0.259259259,11.66666667,-0.853438034,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Discussion 8<-> Presentation2,
Discussion 9,11,10,0.12987013,0.144897959,2.153061224,-0.116402109,2,4,0.390625,0.375,1.53125,-0.391594304,74,6,0.222222222,0.240740741,17.16666667,1.344685293,3,4,0.452380952,0.476190476,2.30952381,0.694097575,0.694097575,P,Discussion 9<-> Presentation2,
Discussion 10,11,8,0.128014842,0.147959184,2,-0.320070442,1,3,0.46875,0.395833333,1.0625,-1.462282526,56,7,0.222222222,0.238095238,13.27777778,-0.209543322,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.073598129,P,Discussion 10<-> Presentation2,
Discussion 11,13,13,0.127158556,0.144427002,2.591836735,0.46744711,7,4,0.325892857,0.375,3.03125,3.034608008,70,7,0.222222222,0.253968254,16.44444444,1.056042836,3,4,0.452380952,0.476190476,2.30952381,0.694097575,3.034608008,D,Discussion 11,
Discussion 12,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,3,0.385416667,0.375,1.71875,0.036680985,59,7,0.222222222,0.238095238,13.94444444,0.056895869,3,3,0.428571429,0.444444444,1.952380952,-0.081526733,1.03771844,C,Discussion 12<-> Chatting26,
Discussion 13,16,12,0.130102041,0.142857143,2.93877551,0.92909533,3,3,0.385416667,0.395833333,1.75,0.1080602,71,7,0.222222222,0.238095238,16.61111111,1.122652633,4,4,0.422619048,0.44047619,2.571428571,1.262888734,1.262888734,P,Discussion 13<-> Presentation2,
Discussion 14,9,9,0.133786848,0.136054422,1.816326531,-0.56447244,3,4,0.385416667,0.375,1.90625,0.464956274,57,7,0.222222222,0.238095238,13.5,-0.120730258,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Discussion 14<-> Presentation2,
Discussion 16,9,12,0.120181406,0.142857143,1.93877551,-0.401537775,3,2,0.385416667,0.34375,1.5,-0.462973518,71,7,0.222222222,0.253968254,16.66666667,1.144855899,3,4,0.452380952,0.482142857,2.321428571,0.719951719,0.719951719,P,Discussion 16<-> Presentation2,
Discussion 17,1,6,0.102040816,0.108843537,0.428571429,-2.41106532,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,0,0,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,C,Discussion 17<-> Chatting28,
Discussion 18,15,13,0.121088435,0.144427002,2.755102041,0.684693331,3,4,0.385416667,0.375,1.90625,0.464956274,57,7,0.222222222,0.238095238,13.5,-0.120730258,3,5,0.452380952,0.466666667,2.523809524,1.15947216,1.15947216,P,Discussion 18<-> Presentation2,
Discussion 19,16,13,0.130102041,0.144427002,3.020408163,1.03771844,3,2,0.385416667,0.4375,1.59375,-0.248835874,0,0,NaN,NaN,#VALUE!,#VALUE!,3,2,0.428571429,0.535714286,1.821428571,-0.365922312,1.03771844,C,Discussion 19<-> Chatting30,
Discussion 20,14,13,0.128279883,0.144427002,2.734693878,0.657537553,2,3,0.421875,0.395833333,1.4375,-0.605731948,73,6,0.222222222,0.240740741,16.94444444,1.255872229,2,5,0.428571429,0.466666667,2.023809524,0.073598129,0.657537553,C,Discussion 20<-> Chatting33,
Discussion 21,10,12,0.128571429,0.142857143,2.142857143,-0.129979998,3,3,0.385416667,0.395833333,1.75,0.1080602,55,7,0.222222222,0.253968254,13.11111111,-0.27615312,2,3,0.404761905,0.468253968,1.511904762,-1.038130046,0.1080602,D,Discussion 21,
