UserPresence,present,1490699702534
SoundC,48.55773214739296,1490701541118
Present,94,1490701541121
SoundC,51.62091662308819,1490701551123
Present,93,1490701551126
SoundRight,55.369951428718224,1490701559452
SoundC,42.56523641427832,1490701561135
Present,104,1490701561138
SoundLeft,58.433135904413454,1490701566546
SoundC,46.78757012382582,1490701571146
Present,101,1490701571149
SoundC,56.45426312235056,1490701581157
Present,103,1490701581160
MoveFocus,GoTour,1490701586211
SoundC,63.95233273361063,1490701591170
Present,100,1490701591173
SoundC,42.56523641427832,1490701601181
Present,107,1490701601184
SoundC,52.96571415471127,1490701611186
Present,115,1490701611189
SoundRight,60.20329792798059,1490701619485
SoundC,55.369951428718224,1490701621199
Present,99,1490701621202
SoundLeft,50.159038478285424,1490701626551
SoundC,48.55773214739296,1490701631210
Present,92,1490701631213
SoundC,48.55773214739296,1490701641215
Present,100,1490701641218
MoveFocus,GoTour,1490701646371
SoundC,56.45426312235056,1490701651228
Present,92,1490701651231
SoundC,44.808697341762915,1490701661234
Present,101,1490701661237
SoundC,52.96571415471127,1490701671246
Present,102,1490701671249
SoundRight,57.472817393488484,1490701679502
SoundC,54.210802194865956,1490701681257
Present,103,1490701681260
SoundLeft,70.5390318503356,1490701686555
SoundC,51.62091662308819,1490701691262
Present,102,1490701691265
SoundC,48.55773214739296,1490701701275
Present,97,1490701701278
MoveFocus,GoTour,1490701706652
SoundC,64.61127993529891,1490701711287
Present,101,1490701711289
SoundC,56.45426312235056,1490701721292
Present,111,1490701721295
SoundC,50.159038478285424,1490701731303
Present,120,1490701731306
SoundRight,57.472817393488484,1490701739521
SoundC,48.55773214739296,1490701741320
Present,79,1490701741322
SoundLeft,50.159038478285424,1490701746560
SoundC,46.78757012382582,1490701751324
Present,91,1490701751327
SoundC,66.44593723960276,1490701761336
Present,101,1490701761339
MoveFocus,GoTour,1490701766732
SoundC,50.159038478285424,1490701771349
Present,99,1490701771352
SoundC,50.159038478285424,1490701781354
Present,91,1490701781358
SoundC,51.62091662308819,1490701791370
Present,104,1490701791372
SoundRight,82.41011779552353,1490701799534
SoundC,57.472817393488484,1490701801381
Present,100,1490701801384
SoundLeft,48.55773214739296,1490701806565
SoundC,56.45426312235056,1490701811394
Present,107,1490701811397
SoundC,52.96571415471127,1490701821406
Present,107,1490701821415
MoveFocus,GoTour,1490701826902
SoundC,52.96571415471127,1490701831426
Present,101,1490701831429
SoundC,54.210802194865956,1490701841437
Present,107,1490701841440
SoundC,46.78757012382582,1490701851451
Present,108,1490701851453
SoundRight,54.210802194865956,1490701859565
SoundC,46.78757012382582,1490701861462
Present,95,1490701861465
SoundLeft,51.62091662308819,1490701866570
SoundC,46.78757012382582,1490701871467
Present,95,1490701871470
SoundC,44.808697341762915,1490701881472
Present,95,1490701881475
MoveFocus,GoTour,1490701887007
SoundC,59.341519288975356,1490701891477
Present,97,1490701891480
SoundC,50.159038478285424,1490701901482
Present,100,1490701901485
SoundC,52.96571415471127,1490701911488
Present,103,1490701911490
SoundRight,82.18459763092324,1490701919587
SoundC,62.551438321825636,1490701921500
Present,101,1490701921503
SoundLeft,50.159038478285424,1490701926575
SoundC,46.78757012382582,1490701931505
Present,105,1490701931508
SoundC,50.159038478285424,1490701941510
Present,101,1490701941513
MoveFocus,GoTour,1490701947167
SoundC,50.159038478285424,1490701951515
Present,103,1490701951518
SoundC,67.56641902255494,1490701961520
Present,98,1490701961523
SoundC,61.80460425887306,1490701971525
Present,100,1490701971528
SoundRight,61.023021476191225,1490701979607
SoundC,65.8563679754536,1490701981530
Present,101,1490701981533
SoundLeft,46.78757012382582,1490701986580
SoundC,42.56523641427832,1490701991536
Present,102,1490701991539
SoundC,48.55773214739296,1490702001541
Present,109,1490702001544
MoveFocus,GoTour,1490702007332
SoundC,44.808697341762915,1490702011546
Present,102,1490702011549
SoundC,48.55773214739296,1490702021555
Present,94,1490702021564
SoundC,48.55773214739296,1490702031581
Present,103,1490702031584
SoundRight,60.20329792798059,1490702039626
SoundC,44.808697341762915,1490702041586
Present,99,1490702041589
SoundLeft,48.55773214739296,1490702046585
SoundC,48.55773214739296,1490702051591
Present,96,1490702051594
SoundC,52.96571415471127,1490702061596
Present,99,1490702061599
MoveFocus,GoTour,1490702067447
SoundC,61.80460425887306,1490702071601
Present,99,1490702071604
SoundC,44.808697341762915,1490702081606
Present,99,1490702081609
SoundC,42.56523641427832,1490702091611
Present,92,1490702091614
SoundRight,70.0787016850011,1490702099646
SoundC,56.45426312235056,1490702101616
Present,101,1490702101619
SoundLeft,58.433135904413454,1490702106589
SoundC,61.023021476191225,1490702111621
Present,103,1490702111634
SoundC,56.45426312235056,1490702121638
Present,96,1490702121641
MoveFocus,GoTour,1490702127532
SoundC,50.159038478285424,1490702131643
Present,111,1490702131646
SoundC,44.808697341762915,1490702141660
Present,104,1490702141662
SoundC,48.55773214739296,1490702151665
Present,107,1490702151667
SoundRight,74.55832985633069,1490702159679
SoundC,50.159038478285424,1490702161670
Present,102,1490702161673
SoundLeft,52.96571415471127,1490702166594
SoundC,46.78757012382582,1490702171675
Present,102,1490702171678
SoundC,44.808697341762915,1490702181680
Present,103,1490702181683
MoveFocus,GoTour,1490702187642
SoundC,48.55773214739296,1490702191685
Present,110,1490702191688
SoundC,44.808697341762915,1490702201690
Present,98,1490702201693
SoundC,50.159038478285424,1490702211703
Present,115,1490702211706
SoundRight,61.80460425887306,1490702219712
SoundC,42.56523641427832,1490702221708
Present,107,1490702221711
SoundLeft,51.62091662308819,1490702226599
SoundC,56.45426312235056,1490702231713
Present,116,1490702231716
SoundC,68.0998289029382,1490702241718
Present,115,1490702241721
MoveFocus,GoTour,1490702247837
SoundC,50.159038478285424,1490702251723
Present,105,1490702251726
SoundC,50.159038478285424,1490702261737
Present,107,1490702261740
SoundC,50.159038478285424,1490702271742
Present,96,1490702271745
SoundRight,74.55832985633069,1490702279731
SoundC,61.023021476191225,1490702281747
Present,109,1490702281750
SoundLeft,61.023021476191225,1490702287465
SoundC,48.55773214739296,1490702291752
Present,90,1490702291755
SoundC,54.210802194865956,1490702301758
Present,89,1490702301760
MoveFocus,GoTour,1490702307917
SoundC,46.78757012382582,1490702311769
Present,95,1490702311772
SoundC,48.55773214739296,1490702321774
Present,103,1490702321777
SoundC,56.45426312235056,1490702331779
Present,89,1490702331782
SoundRight,55.369951428718224,1490702339750
SoundC,44.808697341762915,1490702341784
Present,97,1490702341787
SoundLeft,46.78757012382582,1490702347470
SoundC,63.95233273361063,1490702351789
Present,94,1490702351792
SoundC,46.78757012382582,1490702361794
Present,86,1490702361797
MoveFocus,GoTour,1490702368007
SoundC,52.96571415471127,1490702371799
Present,101,1490702371802
SoundC,56.45426312235056,1490702381804
Present,102,1490702381807
SoundC,44.808697341762915,1490702391809
Present,101,1490702391812
SoundRight,72.26372429269907,1490702399769
SoundC,50.159038478285424,1490702401814
Present,112,1490702401817
SoundLeft,51.62091662308819,1490702407475
SoundC,51.62091662308819,1490702411819
Present,92,1490702411822
SoundC,46.78757012382582,1490702421833
Present,105,1490702421835
MoveFocus,GoTour,1490702428113
SoundC,59.341519288975356,1490702431846
Present,112,1490702431849
SoundC,51.62091662308819,1490702441851
Present,95,1490702441854
SoundC,52.96571415471127,1490702451856
Present,108,1490702451859
SoundRight,61.80460425887306,1490702459803
SoundC,48.55773214739296,1490702461861
Present,103,1490702461864
SoundLeft,51.62091662308819,1490702467479
SoundC,50.159038478285424,1490702471874
Present,88,1490702471877
SoundC,50.159038478285424,1490702481880
Present,89,1490702481882
MoveFocus,GoTour,1490702488373
Seat1B,false,1490702489849
TotalSeatCount,1,1490702489849
SoundC,58.433135904413454,1490702491885
Present,94,1490702491888
SoundC,51.62091662308819,1490702501890
Present,97,1490702501893
SoundC,56.45426312235056,1490702511895
Present,106,1490702511898
SoundRight,66.44593723960276,1490702519836
SoundC,50.159038478285424,1490702521900
Present,100,1490702521903
SoundLeft,52.96571415471127,1490702527485
SoundC,44.808697341762915,1490702531905
Present,102,1490702531908
SoundC,51.62091662308819,1490702541911
Present,109,1490702541913
MoveFocus,GoTour,1490702548488
SoundC,48.55773214739296,1490702551916
Present,95,1490702551919
SoundC,54.210802194865956,1490702561921
Present,105,1490702561924
SoundC,46.78757012382582,1490702571926
Present,104,1490702571929
SoundRight,84.3141530373665,1490702579869
SoundC,63.26648240367583,1490702581931
Present,97,1490702581934
SoundLeft,46.78757012382582,1490702587489
SoundC,50.159038478285424,1490702591936
Present,93,1490702591939
SoundC,44.808697341762915,1490702601941
Present,103,1490702601944
MoveFocus,GoTour,1490702608568
SoundC,52.96571415471127,1490702611946
Present,103,1490702611949
SoundC,50.159038478285424,1490702621951
Present,98,1490702621954
SoundC,51.62091662308819,1490702631956
Present,102,1490702631959
SoundRight,55.369951428718224,1490702639888
SoundC,50.159038478285424,1490702641961
Present,108,1490702641964
SoundLeft,46.78757012382582,1490702647495
SoundC,54.210802194865956,1490702651974
Present,109,1490702651977
SoundC,50.159038478285424,1490702661979
Present,98,1490702661989
MoveFocus,GoTour,1490702668673
SoundC,48.55773214739296,1490702671999
Present,115,1490702672007
SoundC,50.159038478285424,1490702682012
Present,100,1490702682014
SoundC,51.62091662308819,1490702692025
Present,96,1490702692027
SoundRight,50.159038478285424,1490702699902
SoundC,48.55773214739296,1490702702030
Present,90,1490702702033
SoundLeft,56.45426312235056,1490702707505
SoundC,50.159038478285424,1490702712035
Present,93,1490702712038
SoundC,51.62091662308819,1490702722040
Present,98,1490702722043
MoveFocus,GoTour,1490702728788
SoundC,51.62091662308819,1490702732045
Present,94,1490702732048
SoundC,48.55773214739296,1490702742050
Present,94,1490702742053
SoundC,51.62091662308819,1490702752055
Present,101,1490702752058
SoundRight,56.45426312235056,1490702759918
SoundC,51.62091662308819,1490702762060
Present,109,1490702762063
SoundLeft,52.96571415471127,1490702767517
SoundC,48.55773214739296,1490702772066
Present,99,1490702772068
SoundC,46.78757012382582,1490702782071
Present,96,1490702782073
MoveFocus,GoTour,1490702788963
SoundC,48.55773214739296,1490702792075
Present,104,1490702792078
SoundC,44.808697341762915,1490702802080
Present,112,1490702802083
SoundC,50.159038478285424,1490702812085
Present,97,1490702812088
SoundRight,55.369951428718224,1490702819932
SoundC,50.159038478285424,1490702822090
Present,103,1490702822093
SoundLeft,46.78757012382582,1490702827534
SoundC,44.808697341762915,1490702832095
Present,102,1490702832098
SoundC,50.159038478285424,1490702842100
Present,95,1490702842103
MoveFocus,GoTour,1490702849053
SoundC,50.159038478285424,1490702852105
Present,103,1490702852110
SoundC,54.210802194865956,1490702862112
Present,101,1490702862115
SoundC,51.62091662308819,1490702872117
Present,108,1490702872120
SoundRight,54.210802194865956,1490702879946
SoundC,48.55773214739296,1490702882122
Present,110,1490702882125
SoundLeft,50.159038478285424,1490702887539
SoundC,50.159038478285424,1490702892127
Present,101,1490702892130
SoundC,63.26648240367583,1490702902132
Present,116,1490702902135
MoveFocus,GoTour,1490702909163
SoundC,65.8563679754536,1490702912137
Present,108,1490702912140
SoundC,48.55773214739296,1490702922142
Present,106,1490702922145
SoundC,50.159038478285424,1490702932148
Present,116,1490702932150
SoundRight,72.66858725677886,1490702939980
SoundC,51.62091662308819,1490702942152
Present,92,1490702942155
SoundLeft,60.20329792798059,1490702947554
SoundC,44.808697341762915,1490702952158
Present,109,1490702952161
SoundC,55.369951428718224,1490702962163
Present,105,1490702962166
MoveFocus,GoTour,1490702969258
SoundC,55.369951428718224,1490702972168
Present,120,1490702972171
SoundC,50.159038478285424,1490702982173
Present,101,1490702982176
SoundC,44.808697341762915,1490702992179
Present,118,1490702992182
SoundRight,64.61127993529891,1490703000013
SoundC,44.808697341762915,1490703002183
Present,95,1490703002186
SoundLeft,50.159038478285424,1490703007559
SoundC,51.62091662308819,1490703012193
Present,101,1490703012198
SoundC,50.159038478285424,1490703022200
Present,101,1490703022203
MoveFocus,GoTour,1490703029508
SoundC,48.55773214739296,1490703032205
Present,94,1490703032208
Exit,null,1490703036957
UserCount,2,1490703036957
Exit,null,1490703038752
